allocation_nodes,constraints,flags,group,nodes,partition,priority,qos,working_directory,required-CPUs,required-memory,state-reason,steps-nodes-list,steps-nodes-count,steps-nodes-range,steps-time-elapsed,steps-time-end,steps-time-start,steps-time-system-seconds,steps-time-system-microseconds,steps-time-total-seconds,steps-time-total-microseconds,steps-time-user-seconds,steps-time-user-microseconds,steps-statistics-CPU-actual_frequency,steps-step-job_id,steps-step-id,steps-step-name,steps-tres-requested-max-cpu,steps-tres-requested-max-cpu-node,steps-tres-requested-max-mem,steps-tres-requested-max-energy,steps-tres-requested-max-fs,steps-tres-requested-max-vmem,steps-tres-consumed-max-energy,steps-tres-consumed-max-fs,steps-tres-allocated-cpu,steps-tres-allocated-mem,tres-allocated-cpu,tres-allocated-mem
1,,STARTED_ON_SCHEDULE,staff,e1788,standard,1417,normal,/mnt/storage_2/scratch/grant_68/kulka/test/dev/prod-run,24,2048,BeginTime,['e1788'],1,e1788,9482,1672529962,1672520480,6495,73165,150078,718945,143583,645780,0,25977766,batch,batch,150077410,e1788,8399224832,0,229099898492,303169536,4294967294,112671943280,24,49152,24,49152
1,,STARTED_ON_SCHEDULE,staff,e2281,standard,1434,normal,/mnt/storage_2/scratch/grant_68/kulka/test/dev/prod-run,24,2048,BeginTime,['e2281'],1,e2281,9932,1672555653,1672545721,6670,669326,155892,1158197,149222,488871,0,26081263,batch,batch,155892610,e2281,8427806720,0,229072326206,303730688,4294967294,112643415366,24,49152,24,49152
1,,STARTED_ON_SCHEDULE,staff,e1901,standard,1434,normal,/mnt/storage_2/scratch/grant_68/kulka/test/dev/prod-run,24,2048,BeginTime,['e1901'],1,e1901,10601,1672595012,1672584411,7567,466570,180730,986687,173163,520117,0,26081264,batch,batch,180730980,e1901,8402841600,0,229118573850,303890432,4294967294,112683079815,24,49152,24,49152
1,,STARTED_ON_SCHEDULE,staff,e1403,standard,1434,normal,/mnt/storage_2/scratch/grant_68/kulka/test/dev/prod-run,24,2048,BeginTime,['e1403'],1,e1403,9408,1672604330,1672594922,6593,127377,153235,366867,146642,239490,0,26081265,batch,batch,153234590,e1403,8400236544,0,24560330,303730688,4294967294,779489,24,49152,24,49152
1,,STARTED_ON_SCHEDULE,staff,e1893,standard,1434,normal,/mnt/storage_2/scratch/grant_68/kulka/test/dev/prod-run,24,2048,BeginTime,['e1893'],1,e1893,10631,1672629296,1672618665,7836,886703,181753,1207955,173917,321252,0,26081267,batch,batch,181754220,e1893,8436871168,0,229282870990,303169536,4294967294,112809595219,24,49152,24,49152
1,,STARTED_ON_SCHEDULE,staff,e1254,standard,1434,normal,/mnt/storage_2/scratch/grant_68/kulka/test/dev/prod-run,24,2048,BeginTime,['e1254'],1,e1254,10971,1672650208,1672639237,8531,870832,182142,1743421,173611,872589,0,26081268,batch,batch,182142630,e1254,8399478784,0,229264283205,303169536,4294967294,112790123032,24,49152,24,49152
1,,STARTED_ON_SCHEDULE,staff,e1978,standard,1434,normal,/mnt/storage_2/scratch/grant_68/kulka/test/dev/prod-run,24,2048,BeginTime,['e1978'],1,e1978,10694,1672671495,1672660801,7615,634732,177214,1350006,169599,715274,0,26081269,batch,batch,177214140,e1978,8402087936,0,232468898151,303169536,4294967294,115988352375,24,49152,24,49152
1,,STARTED_ON_SCHEDULE,staff,e1645,standard,1434,normal,/mnt/storage_2/scratch/grant_68/kulka/test/dev/prod-run,24,2048,BeginTime,['e1645'],1,e1645,11160,1672693589,1672682429,7433,656232,178155,1459871,170722,803639,0,26081270,batch,batch,178155330,e1645,8398995456,0,229332199984,303730688,4294967294,112876887931,24,49152,24,49152
1,,STARTED_ON_SCHEDULE,staff,e1645,standard,1434,normal,/mnt/storage_2/scratch/grant_68/kulka/test/dev/prod-run,24,2048,BeginTime,['e1645'],1,e1645,20746,1672746353,1672725607,7703,801722,178147,1176480,170444,374758,0,26081272,batch,batch,178147040,e1645,8402829312,0,229394621732,303730688,4294967294,112966972475,24,49152,24,49152
1,,STARTED_ON_SCHEDULE,staff,e1804,standard,1434,normal,/mnt/storage_2/scratch/grant_68/kulka/test/dev/prod-run,24,2048,BeginTime,['e1804'],1,e1804,13028,1672760229,1672747201,8265,991067,183572,1325564,175307,334497,0,26081273,batch,batch,183572750,e1804,8417312768,0,232612830122,303169536,4294967294,116203993127,24,49152,24,49152
1,,STARTED_ON_SCHEDULE,staff,e1707,standard,1434,normal,/mnt/storage_2/scratch/grant_68/kulka/test/dev/prod-run,24,2048,BeginTime,['e1707'],1,e1707,11560,1672780360,1672768800,8430,459986,184255,625969,175825,165983,0,26081274,batch,batch,184254080,e1707,8422039552,0,229374326299,303730688,4294967294,112977676412,24,49152,24,49152
1,,STARTED_ON_SCHEDULE,staff,e1212,standard,1434,normal,/mnt/storage_2/scratch/grant_68/kulka/test/dev/prod-run,24,2048,BeginTime,['e1212'],1,e1212,11426,1672801826,1672790400,7748,198334,183057,1060338,175309,862004,0,26081275,batch,batch,183057530,e1212,8425181184,0,229337518230,303169536,4294967294,112959612990,24,49152,24,49152
1,,STARTED_ON_SCHEDULE,staff,e1286,standard,1434,normal,/mnt/storage_2/scratch/grant_68/kulka/test/dev/prod-run,24,2048,BeginTime,['e1286'],1,e1286,13664,1672847264,1672833600,6915,172663,163760,855009,156845,682346,0,26081277,batch,batch,163759720,e1286,8402571264,0,229330114279,303169536,4294967294,112966744798,24,49152,24,49152
1,,STARTED_ON_SCHEDULE,staff,e1286,standard,1434,normal,/mnt/storage_2/scratch/grant_68/kulka/test/dev/prod-run,24,2048,BeginTime,['e1286'],1,e1286,9858,1672865070,1672855212,6793,213323,162796,721681,156003,508358,0,26081278,batch,batch,162796200,e1286,8403369984,0,229298338400,303169536,4294967294,112928709879,24,49152,24,49152
1,,STARTED_ON_SCHEDULE,staff,e1224,standard,1434,normal,/mnt/storage_2/scratch/grant_68/kulka/test/dev/prod-run,24,2048,BeginTime,['e1224'],1,e1224,9837,1672886643,1672876806,7264,734531,165932,1449520,158668,714989,0,26081279,batch,batch,165931790,e1224,8402051072,0,24548039,303730688,4294967294,779489,24,49152,24,49152
